prec,ID,Assault,BreakingnEntering,Robbery,Theft,yymm
1.0290322,9,179,58,7,175,201501
.17741935,,33,14,0,58,201501
1.1548387,5,13,7,0,49,201501
.69032258,,38,111,27,259,201501
.63387096,16,257,81,24,415,201501
.75483871,13,34,10,7,44,201501
.63870966,14,104,38,17,222,201501
.38870969,7,8,3,2,35,201501
.096774191,3,257,203,69,685,201501
.70806456,4,31,28,11,90,201501
.056451615,2,22,6,1,42,201501
.33870968,1,52,27,6,78,201501
1.0919355,,4,2,1,7,201501
1.1612903,6,9,1,3,28,201501
.53225803,10,9,4,0,14,201501
.57741934,11,65,15,41,172,201501
.56290323,22,47,22,0,55,201501
1.0112903,23,33,15,6,119,201501
.42741936,24,4,6,0,13,201501
1.1016129,19,8,4,0,14,201501
.76935488,8,0,0,0,0,201501
.72142857,9,186,59,3,136,201502
.28392857,,31,11,1,53,201502
.61607146,5,7,12,1,39,201502
.59642857,,48,59,6,216,201502
.41964287,16,244,64,24,345,201502
.24464287,13,39,8,1,49,201502
.44285715,14,104,32,9,198,201502
.18392858,7,14,4,1,34,201502
.039285716,3,271,144,34,615,201502
.34999999,4,35,20,10,72,201502
.075000003,2,22,4,5,38,201502
.19642857,1,58,20,3,60,201502
.61428571,,5,2,0,3,201502
.52321428,6,14,0,1,19,201502
.39107144,10,4,4,0,13,201502
.38392857,11,46,8,21,135,201502
.35714287,22,51,20,5,33,201502
.52857143,23,31,12,5,84,201502
.2375,24,6,0,0,15,201502
.57499999,19,13,1,0,5,201502
.61129034,9,238,39,10,133,201503
.15483871,,47,13,2,57,201503
.66612905,5,22,4,1,60,201503
.66451615,,60,73,17,290,201503
.36612904,16,291,83,26,396,201503
.28548387,13,37,16,5,44,201503
.59032261,14,119,46,11,281,201503
.27419356,7,15,1,1,35,201503
.041935485,3,286,175,49,800,201503
.42419356,4,61,16,10,138,201503
.046774194,2,20,9,0,46,201503
.29193547,1,65,18,1,85,201503
.60483873,,4,7,0,14,201503
.56129032,6,11,0,0,13,201503
.16612904,10,8,3,0,10,201503
.48548386,11,68,22,24,182,201503
.60322583,22,57,21,6,37,201503
.22903226,23,46,31,9,125,201503
.085483871,24,6,2,0,20,201503
.44193548,19,10,1,0,2,201503
.31290323,8,0,0,0,0,201503
.56333333,9,201,52,3,182,201504
.28833333,,49,22,1,44,201504
.38666666,5,24,13,0,49,201504
.75333333,,56,68,12,329,201504
.43833333,16,276,75,27,451,201504
.25166667,13,55,25,1,81,201504
.42833334,14,112,42,10,291,201504
.094999999,7,15,11,0,50,201504
.06666667,3,335,202,42,820,201504
.38999999,4,41,28,6,139,201504
.115,2,23,8,1,43,201504
.69166666,1,110,32,4,119,201504
.086666673,21,0,0,0,0,201504
.51499999,,4,4,0,12,201504
.31833333,6,15,2,0,29,201504
.14833334,10,8,2,0,18,201504
.50833333,11,77,24,27,179,201504
.62333333,22,45,25,1,73,201504
.15166667,23,48,33,7,147,201504
.19166666,24,10,2,1,17,201504
.34333333,19,12,7,0,13,201504
.21833333,8,0,0,0,0,201504
.19032258,9,259,58,6,179,201505
.28548387,,44,15,2,50,201505
.38709679,5,22,7,1,92,201505
.13548388,,67,82,15,305,201505
.23709677,16,335,86,25,499,201505
.14193548,13,75,21,6,47,201505
.2,14,120,37,13,277,201505
.30000001,7,22,9,4,61,201505
.022580646,3,334,243,49,789,201505
.18064517,4,49,25,8,157,201505
.0983871,2,41,38,16,79,201505
.43387097,1,92,38,6,105,201505
.16129032,,8,4,0,16,201505
.096774198,6,9,0,0,16,201505
.093548387,10,4,0,0,4,201505
.52580643,11,102,20,27,214,201505
.37258065,22,57,28,8,81,201505
.13870968,23,54,32,7,151,201505
.20483871,24,13,2,0,15,201505
.18709677,19,13,3,1,14,201505
.70833331,9,262,82,4,186,201506
.57999998,,44,14,4,64,201506
1.0266666,5,18,6,1,51,201506
.82499999,,71,84,25,351,201506
1.33,16,299,99,37,569,201506
.61333334,13,60,18,9,41,201506
.94,14,90,36,10,218,201506
1.1666666,7,18,6,1,49,201506
.10666667,3,344,234,45,758,201506
.86666667,4,44,32,9,140,201506
.27166668,2,42,28,10,119,201506
1.2866666,1,47,17,3,84,201506
.26833335,21,0,0,0,0,201506
.86500001,,7,5,0,14,201506
