date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,3,-4,0.0,8.7,2,72,03:26 PM,04:54 AM,08:27 AM,05:55 PM,-15,-8,-3,-8,20,6,40,0.0,1024,-3,10,259,11,21041
2015-01-01 12:00:00,3,-4,0.0,8.7,2,72,03:26 PM,04:54 AM,08:27 AM,05:55 PM,-13,-2,3,-2,19,12,29,0.0,1020,3,10,222,15,21041
2015-01-02 00:00:00,5,-1,0.0,8.7,2,80,04:12 PM,05:53 AM,08:27 AM,05:56 PM,-6,-5,-1,-5,17,9,64,0.0,1021,-1,10,238,8,21041
2015-01-02 12:00:00,5,-1,0.0,8.7,2,80,04:12 PM,05:53 AM,08:27 AM,05:56 PM,-5,2,5,2,13,8,49,0.0,1026,5,10,275,11,21041
2015-01-03 00:00:00,5,-0,0.0,3.5,2,87,05:02 PM,06:47 AM,08:27 AM,05:57 PM,-5,-3,1,-3,10,4,65,0.0,1031,1,10,36,5,21041
2015-01-03 12:00:00,5,-0,0.0,3.5,2,87,05:02 PM,06:47 AM,08:27 AM,05:57 PM,1,1,5,1,9,99,80,0.5,1030,5,2,38,6,21041
2015-01-04 00:00:00,14,5,0.0,3.5,3,94,05:55 PM,07:38 AM,08:27 AM,05:57 PM,5,1,5,1,10,95,98,0.0,1019,5,10,246,6,21041
2015-01-04 12:00:00,14,5,0.0,3.5,3,94,05:55 PM,07:38 AM,08:27 AM,05:57 PM,11,10,12,10,17,69,94,0.0,1010,12,10,190,10,21041
2015-01-05 00:00:00,1,-4,0.0,7.0,2,100,06:50 PM,08:23 AM,08:27 AM,05:58 PM,-0,-2,3,-2,50,0,78,0.0,1017,3,10,284,28,21041
2015-01-05 12:00:00,1,-4,0.0,7.0,2,100,06:50 PM,08:23 AM,08:27 AM,05:58 PM,-11,-7,-0,-7,37,0,44,0.0,1027,-0,10,285,31,21041
2015-01-06 00:00:00,-2,-7,5.5,3.5,2,100,07:46 PM,09:04 AM,08:27 AM,05:59 PM,-18,-9,-4,-9,14,51,32,0.0,1031,-4,10,327,10,21041
2015-01-06 12:00:00,-2,-7,5.5,3.5,2,100,07:46 PM,09:04 AM,08:27 AM,05:59 PM,-5,-7,-2,-7,9,87,78,2.6,1021,-2,2,223,7,21041
2015-01-07 00:00:00,-7,-13,0.0,9.7,2,84,08:42 PM,09:40 AM,08:27 AM,06:00 PM,-9,-13,-7,-13,10,43,86,0.0,1019,-7,10,270,6,21041
2015-01-07 12:00:00,-7,-13,0.0,9.7,2,84,08:42 PM,09:40 AM,08:27 AM,06:00 PM,-15,-16,-7,-16,38,39,54,0.0,1020,-7,2,295,30,21041
2015-01-08 00:00:00,-9,-15,0.0,9.7,2,77,09:38 PM,10:13 AM,08:27 AM,06:01 PM,-17,-24,-15,-24,30,18,83,0.0,1032,-15,10,298,18,21041
2015-01-08 12:00:00,-9,-15,0.0,9.7,2,77,09:38 PM,10:13 AM,08:27 AM,06:01 PM,-16,-18,-10,-18,18,7,65,0.0,1032,-10,10,274,15,21041
2015-01-09 00:00:00,-0,-7,0.0,9.8,2,69,10:33 PM,10:44 AM,08:27 AM,06:02 PM,-15,-16,-7,-16,28,51,54,0.0,1022,-7,10,190,17,21041
2015-01-09 12:00:00,-0,-7,0.0,9.8,2,69,10:33 PM,10:44 AM,08:27 AM,06:02 PM,-8,-7,-0,-7,24,54,59,0.0,1020,-0,10,271,18,21041
2015-01-10 00:00:00,-4,-13,0.0,9.8,2,62,11:28 PM,11:14 AM,08:27 AM,06:03 PM,-13,-18,-10,-18,27,0,78,0.0,1029,-10,10,300,15,21041
2015-01-10 12:00:00,-4,-13,0.0,9.8,2,62,11:28 PM,11:14 AM,08:27 AM,06:03 PM,-16,-15,-8,-15,15,0,52,0.0,1036,-8,10,292,13,21041
2015-01-11 00:00:00,1,-8,0.0,9.8,2,55,No moonrise,11:43 AM,08:26 AM,06:04 PM,-13,-12,-8,-12,15,19,65,0.0,1037,-8,10,184,7,21041
2015-01-11 12:00:00,1,-8,0.0,9.8,2,55,No moonrise,11:43 AM,08:26 AM,06:04 PM,-7,-5,0,-5,13,32,58,0.0,1036,0,10,168,10,21041
2015-01-12 00:00:00,2,-0,0.0,4.9,1,48,12:24 AM,12:13 PM,08:26 AM,06:05 PM,-3,-3,1,-3,12,79,75,0.5,1032,1,2,170,7,21041
2015-01-12 12:00:00,2,-0,0.0,4.9,1,48,12:24 AM,12:13 PM,08:26 AM,06:05 PM,2,-1,2,-1,5,100,99,5.0,1023,2,7,103,3,21041
2015-01-13 00:00:00,-4,-7,0.4,9.8,1,40,01:20 AM,12:44 PM,08:26 AM,06:06 PM,-2,-6,-1,-6,15,69,87,0.5,1027,-1,8,1,9,21041
2015-01-13 12:00:00,-4,-7,0.4,9.8,1,40,01:20 AM,12:44 PM,08:26 AM,06:06 PM,-10,-12,-5,-12,16,38,67,0.0,1036,-5,10,25,14,21041
2015-01-14 00:00:00,-2,-6,1.1,4.9,2,33,02:18 AM,01:19 PM,08:26 AM,06:07 PM,-11,-10,-5,-10,21,20,63,0.0,1034,-5,10,53,15,21041
2015-01-14 12:00:00,-2,-6,1.1,4.9,2,33,02:18 AM,01:19 PM,08:26 AM,06:07 PM,-6,-6,-2,-6,8,100,73,0.2,1027,-2,5,4,6,21041
2015-01-15 00:00:00,2,-3,0.0,9.8,2,26,03:18 AM,01:58 PM,08:25 AM,06:08 PM,-5,-6,-2,-6,9,62,85,0.0,1023,-2,10,334,6,21041
2015-01-15 12:00:00,2,-3,0.0,9.8,2,26,03:18 AM,01:58 PM,08:25 AM,06:08 PM,-9,-1,2,-1,12,7,44,0.0,1020,2,10,268,10,21041
2015-01-16 00:00:00,5,-2,0.0,9.8,2,19,04:18 AM,02:43 PM,08:25 AM,06:09 PM,-4,-5,-1,-5,10,3,83,0.0,1016,-1,10,224,6,21041
2015-01-16 12:00:00,5,-2,0.0,9.8,2,19,04:18 AM,02:43 PM,08:25 AM,06:09 PM,-4,-0,5,-0,35,7,53,0.0,1016,5,10,294,28,21041
2015-01-17 00:00:00,-0,-4,0.0,9.9,2,11,05:19 AM,03:35 PM,08:24 AM,06:10 PM,-11,-10,-4,-10,9,4,60,0.0,1027,-4,10,30,7,21041
2015-01-17 12:00:00,-0,-4,0.0,9.9,2,11,05:19 AM,03:35 PM,08:24 AM,06:10 PM,-11,-5,-0,-5,14,3,43,0.0,1028,-0,10,162,12,21041
2015-01-18 00:00:00,5,-1,0.0,6.6,2,4,06:17 AM,04:33 PM,08:24 AM,06:11 PM,-3,-6,-0,-6,21,0,85,0.0,1021,-0,10,181,13,21041
2015-01-18 12:00:00,5,-1,0.0,6.6,2,4,06:17 AM,04:33 PM,08:24 AM,06:11 PM,4,2,5,2,3,100,99,7.2,1010,5,7,150,1,21041
2015-01-19 00:00:00,5,-0,0.0,9.9,2,0,07:13 AM,05:39 PM,08:24 AM,06:12 PM,-1,-4,0,-4,26,15,91,0.0,1012,0,10,259,12,21041
2015-01-19 12:00:00,5,-0,0.0,9.9,2,0,07:13 AM,05:39 PM,08:24 AM,06:12 PM,-2,1,5,1,21,70,62,0.0,1015,5,10,279,17,21041
2015-01-20 00:00:00,7,0,0.0,9.9,2,0,08:05 AM,06:48 PM,08:23 AM,06:14 PM,-2,0,0,0,5,46,85,0.0,1015,0,10,148,2,21041
2015-01-20 12:00:00,7,0,0.0,9.9,2,0,08:05 AM,06:48 PM,08:23 AM,06:14 PM,0,7,7,7,5,28,62,0.0,1013,7,10,166,4,21041
2015-01-21 00:00:00,1,-2,2.0,5.0,2,3,08:51 AM,08:00 PM,08:22 AM,06:15 PM,-1,-4,0,-4,13,21,90,0.0,1019,0,10,58,6,21041
2015-01-21 12:00:00,1,-2,2.0,5.0,2,3,08:51 AM,08:00 PM,08:22 AM,06:15 PM,-2,-3,-0,-3,4,100,89,2.4,1020,-0,2,116,3,21041
2015-01-22 00:00:00,4,-3,0.0,9.9,1,10,09:34 AM,09:12 PM,08:22 AM,06:16 PM,-3,-6,-3,-6,6,76,98,0.0,1022,-3,0,197,4,21041
2015-01-22 12:00:00,4,-3,0.0,9.9,1,10,09:34 AM,09:12 PM,08:22 AM,06:16 PM,1,-0,4,-0,27,27,83,0.0,1026,4,10,301,18,21041
2015-01-23 00:00:00,3,-2,0.0,8.3,1,18,10:13 AM,10:23 PM,08:21 AM,06:17 PM,-3,-5,-2,-5,12,84,88,0.0,1029,-2,10,309,6,21041
2015-01-23 12:00:00,3,-2,0.0,8.3,1,18,10:13 AM,10:23 PM,08:21 AM,06:17 PM,-2,-0,3,-0,12,25,71,0.0,1024,3,10,171,10,21041
2015-01-24 00:00:00,2,-1,0.3,8.3,1,25,10:51 AM,11:33 PM,08:21 AM,06:18 PM,1,-1,1,-1,17,100,98,16.5,1011,1,5,57,13,21041
2015-01-24 12:00:00,2,-1,0.3,8.3,1,25,10:51 AM,11:33 PM,08:21 AM,06:18 PM,2,-2,2,-2,16,100,95,0.0,999,2,10,299,12,21041
2015-01-25 00:00:00,7,-1,0.0,6.6,2,32,11:28 AM,No moonset,08:20 AM,06:19 PM,-3,-6,-1,-6,21,17,88,0.0,1006,-1,10,268,11,21041
2015-01-25 12:00:00,7,-1,0.0,6.6,2,32,11:28 AM,No moonset,08:20 AM,06:19 PM,2,4,7,4,16,64,70,0.0,1011,7,10,288,13,21041
2015-01-26 00:00:00,0,-4,1.3,5.0,1,39,12:05 PM,12:40 AM,08:19 AM,06:20 PM,2,-2,2,-2,24,100,94,3.2,1011,2,7,81,15,21041
2015-01-26 12:00:00,0,-4,1.3,5.0,1,39,12:05 PM,12:40 AM,08:19 AM,06:20 PM,-2,-8,-1,-8,19,100,92,1.0,1008,-1,0,18,14,21041
2015-01-27 00:00:00,-1,-5,0.4,6.7,1,47,12:44 PM,01:45 AM,08:19 AM,06:22 PM,-5,-11,-4,-11,23,100,92,0.0,1008,-4,10,338,16,21041
2015-01-27 12:00:00,-1,-5,0.4,6.7,1,47,12:44 PM,01:45 AM,08:19 AM,06:22 PM,-3,-7,-1,-7,19,75,85,0.0,1009,-1,10,338,15,21041
2015-01-28 00:00:00,-0,-8,0.0,10.1,1,54,01:26 PM,02:48 AM,08:18 AM,06:23 PM,-10,-17,-8,-17,32,64,83,0.0,1018,-8,10,322,19,21041
2015-01-28 12:00:00,-0,-8,0.0,10.1,1,54,01:26 PM,02:48 AM,08:18 AM,06:23 PM,-6,-5,-0,-5,22,0,68,0.0,1023,-0,10,318,17,21041
2015-01-29 00:00:00,-0,-8,1.8,6.7,2,61,02:11 PM,03:47 AM,08:17 AM,06:24 PM,-10,-12,-7,-12,19,9,76,0.0,1028,-7,10,309,9,21041
2015-01-29 12:00:00,-0,-8,1.8,6.7,2,61,02:11 PM,03:47 AM,08:17 AM,06:24 PM,-6,-6,-0,-6,16,84,63,0.0,1023,-0,10,147,12,21041
2015-01-30 00:00:00,1,-9,0.0,10.0,1,69,02:59 PM,04:43 AM,08:16 AM,06:25 PM,-2,-4,1,-4,10,68,85,0.0,1013,1,10,269,5,21041
2015-01-30 12:00:00,1,-9,0.0,10.0,1,69,02:59 PM,04:43 AM,08:16 AM,06:25 PM,-5,-7,1,-7,36,78,68,0.0,1017,1,10,304,28,21041
2015-01-31 00:00:00,-3,-10,0.0,10.0,2,72,03:50 PM,05:34 AM,08:15 AM,06:26 PM,-14,-21,-10,-21,36,0,72,0.0,1026,-10,10,306,22,21041
2015-01-31 12:00:00,-3,-10,0.0,10.0,2,72,03:50 PM,05:34 AM,08:15 AM,06:26 PM,-10,-12,-4,-12,19,5,63,0.0,1026,-4,10,299,16,21041
2015-02-01 00:00:00,3,-6,0.0,6.7,2,86,04:44 PM,06:20 AM,08:14 AM,06:27 PM,-7,-6,-4,-6,9,11,80,0.0,1026,-6,10,263,4,21041
2015-02-01 12:00:00,3,-6,0.0,6.7,2,86,04:44 PM,06:20 AM,08:14 AM,06:27 PM,-5,-1,3,-1,10,69,58,0.0,1022,3,10,157,8,21041
2015-02-02 00:00:00,7,-7,0.0,6.7,1,94,05:39 PM,07:02 AM,08:13 AM,06:29 PM,2,-3,2,-3,19,100,98,8.9,1007,2,5,132,12,21041
2015-02-02 12:00:00,7,-7,0.0,6.7,1,94,05:39 PM,07:02 AM,08:13 AM,06:29 PM,1,-2,3,-2,30,81,88,0.0,999,3,10,289,19,21041
2015-02-03 00:00:00,-0,-7,0.0,10.2,2,100,06:34 PM,07:40 AM,08:13 AM,06:30 PM,-11,-12,-6,-12,28,2,67,0.0,1021,-6,10,303,19,21041
2015-02-03 12:00:00,-0,-7,0.0,10.2,2,100,06:34 PM,07:40 AM,08:13 AM,06:30 PM,-14,-6,-1,-6,15,2,39,0.0,1027,-1,10,279,13,21041
2015-02-04 00:00:00,7,-3,0.0,10.2,2,100,07:30 PM,08:14 AM,08:12 AM,06:31 PM,-8,-8,-3,-8,18,51,66,0.0,1026,-3,10,159,11,21041
2015-02-04 12:00:00,7,-3,0.0,10.2,2,100,07:30 PM,08:14 AM,08:12 AM,06:31 PM,-4,3,7,3,12,8,46,0.0,1020,7,10,179,10,21041
2015-02-05 00:00:00,-3,-7,0.0,10.2,2,84,08:25 PM,08:46 AM,08:11 AM,06:32 PM,0,-2,2,-2,14,10,92,0.0,1013,2,10,264,6,21041
2015-02-05 12:00:00,-3,-7,0.0,10.2,2,84,08:25 PM,08:46 AM,08:11 AM,06:32 PM,-13,-13,-4,-13,34,4,48,0.0,1022,-4,10,328,30,21041
2015-02-06 00:00:00,2,-8,0.0,10.2,2,76,09:21 PM,09:17 AM,08:10 AM,06:33 PM,-16,-16,-8,-16,20,0,55,0.0,1028,-8,10,298,15,21041
2015-02-06 12:00:00,2,-8,0.0,10.2,2,76,09:21 PM,09:17 AM,08:10 AM,06:33 PM,-17,-5,1,-5,17,12,24,0.0,1023,1,10,229,14,21041
