"isocode","country","year","population","city_population","ln_population","city_pop_share","total_land_area","ln_wpot","post","ln_wpot_post","ln_all","ln_nworld","ln_oworld","ln_spot","ln_silagemaize","ln_maize","ln_cassava","cont_africa","cont_asia","cont_europe","cont_oceania","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","ln_rugged","ln_tropical","ln_elevation","ln_disteq","malaria","ln_dist_coast","roman","protestant","attrade","ln_export","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900","wpot_lr_vs_mars","all_lr_vs_mars","ln_wpot_ver2","ln_wpot_ver3","lat","lon"
"AFG","Afghanistan",1000,2250000,60000,14.6264410018921,0.0266666673123837,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1100,2371708.15467834,40000,14.6791210174561,0.0168654806911945,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1200,2500000,94000,14.7318019866943,0.0375999994575977,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1300,1750000,0,14.3751268386841,0,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1400,2e+06,0,14.5086584091187,0,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1500,2e+06,40000,14.5086584091187,0.0199999995529652,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1600,2500000,0,14.7318019866943,0,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1700,2500000,0,14.7318019866943,0,63088,2.63905739784241,0,0,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1750,2738612.89024353,75000,14.8229627609253,0.0273861270397902,63088,2.63905739784241,1,2.63905739784241,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AFG","Afghanistan",1800,3e+06,175000,14.9141235351562,0.058333333581686,63088,2.63905739784241,1,2.63905739784241,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
