"isocode","country","year","population","city_population","ln_population","city_pop_share","total_land_area","ln_wpot","post","ln_wpot_post","ln_all","ln_nworld","ln_oworld","ln_spot","ln_silagemaize","ln_maize","ln_cassava","cont_africa","cont_asia","cont_europe","cont_oceania","legor_gbr","legor_fra","legor_soc","legor_deu","legor_sca","colony_esp","colony_gbr","colony_fra","colony_prt","colony_oeu","ln_rugged","ln_tropical","ln_elevation","ln_disteq","malaria","ln_dist_coast","roman","protestant","attrade","ln_export","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900","wpot_lr_vs_mars","all_lr_vs_mars","ln_wpot_ver2","ln_wpot_ver3","lat","lon"
"AFG","Afghanistan",1800,3e+06,175000,14.9141235351562,0.058333333581686,63088,2.63905739784241,1,2.63905739784241,6.67582321166992,5.64190721511841,6.07993316650391,2.30258512496948,5.64190721511841,5.59842205047607,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.923523008823395,0,7.49527502059937,3.52144241333008,0.036671450402676,6.82811069488525,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,718,3.89182019233704,2.30258512496948,33.8331909179688,66.0255355834961
"AGO","Angola",1800,2e+06,0,14.5086584091187,0,123775,7.68432426452637,1,7.68432426452637,10.9311590194702,10.0855588912964,9.73583793640137,9.75927066802979,0,10.0855588912964,9.62832641601562,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-0.152899622917175,10.9130964279175,6.96897602081299,2.50948691368103,3.48443070546066,6.06230592727661,0,0,0,13.6016778945923,0,0,0,0,0,0,0,0,0,1,0,0,6068,61367,8.53188514709473,7.52077627182007,-12.2986183166504,17.5509052276611
"ALB","Albania",1800,400000.005960464,0,12.8992223739624,0,2829,5.08759641647339,1,5.08759641647339,6.5072774887085,5.08759641647339,6.5072774887085,0,3.61091780662537,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.23170220851898,0,6.56016731262207,3.71704578399658,0.0135508265654695,3.88963270187378,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,347,272,5.61677122116089,5.3844952583313,41.1426734924316,20.0700588226318
"ARE","United Arab Emirates",1800,38399.014621973,0,10.5558128356934,0,7613,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-0.262879222631454,0,4.82193756103516,3.17442941665649,0.00369278584313947,4.18575954437256,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23.9131736755371,54.3308906555176
"ARM","Armenia",1800,169.182792888023,0,5.13687324523926,0,2970,4.8520302772522,1,4.8520302772522,5.23644208908081,4.8520302772522,4.77912330627441,0,0.6931471824646,0.6931471824646,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.988954603672028,0,7.52412748336792,3.69619464874268,0.00445063156361888,5.85615634918213,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,339,78,5.64544677734375,5.20400667190552,40.2936820983887,44.9381942749023
"AUS","Australia",1800,200000.002980232,0,12.2060775756836,0,766923,9.74349498748779,1,9.74349498748779,11.4085531234741,10.3792247772217,10.3966884613037,9.68414878845215,9.244065284729,10.3792247772217,8.83098125457764,0,0,0,1,1,0,0,0,0,0,1,0,0,0,-1.94256854057312,11.6314668655396,5.68218564987183,3.24775505065918,0.121368305163076,5.81920719146729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31082,90379,10.2898378372192,9.8963623046875,-25.7325057983398,134.486785888672
"AUT","Austria",1800,3e+06,231000,14.9141235351562,0.0769999995827675,8354,7.48605251312256,1,7.48605251312256,7.91826486587524,7.48605251312256,7.78613662719727,0,7.41397047042847,6.96129608154297,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.25652182102203,0,6.85232496261597,3.86259174346924,0.00165822397125647,5.49148225784302,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2081,1798,7.75061464309692,7.45240259170532,47.5885276794434,14.1400337219238
"BDI","Burundi",1800,930695.652961731,0,13.743688583374,0,2815,4.12713432312012,1,4.12713432312012,6.44571971893311,5.37989711761475,5.68697547912598,4.79579067230225,0,4.07753753662109,5.37989711761475,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.576447188854218,7.66021251678467,7.37094640731812,1.21350109577179,1.52569104998651,6.80990934371948,0,0,0,2.48333239555359,0,0,0,0,0,0,0,0,0,1,0,0,270,586,5.25749540328979,5.13579845428467,-3.36524605751038,29.8865776062012
"BEL","Belgium",1800,3142206.1920166,170000,14.9604358673096,0.0541021153330803,3005,6.64509105682373,1,6.64509105682373,7.44190692901611,7.05098962783813,7.36010408401489,0,7.05098962783813,6.0935697555542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.9472736120224,0,5.05049657821655,3.9247772693634,0,4.73867654800415,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1453,2104,7.09589338302612,7.06390380859375,50.6417999267578,4.66082954406738
"BEN","Benin",1800,694313.526153564,0,13.4506807327271,0,11790,0,1,0,9.10353469848633,8.93550872802734,8.7368106842041,8.52773761749268,0,8.93550872802734,8.02682399749756,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.95799434185028,9.34966564178467,5.57981395721436,2.26691746711731,20.3911798132642,5.90889072418213,0,0,0,11.8191070556641,0,0,0,0,0,0,0,0,0,1,0,0,0,9484,0,0,9.64960861206055,2.33928418159485
"BFA","Burkina Faso",1800,1379159.45053101,0,14.1369857788086,0,27514,0,1,0,9.79188537597656,9.49604511260986,8.08394527435303,8.75794124603271,0,9.49604511260986,7.46049022674561,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.44197058677673,9.52576923370361,5.68817710876465,2.50744366645813,31.6387067136462,6.60107326507568,0,0,0,11.3215303421021,0,0,0,0,0,0,0,0,0,1,0,0,0,17964,0,0,12.2735147476196,-1.74676358699799
"BGD","Bangladesh",1800,17916866.3024902,106000,16.7012538909912,0.0059162131510675,14003,0,1,0,8.78950786590576,7.77611541748047,8.52496337890625,7.77611541748047,6.20859003067017,7.18083143234253,7.58426475524902,0,1,0,0,1,0,0,0,0,0,1,0,0,0,-1.67980432510376,9.25994873046875,3.25673460960388,3.17171669006348,5.64972209787379,4.2774600982666,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,103,11345,4.6913480758667,0,23.8483905792236,90.2703018188477
"BGR","Bulgaria",1800,2e+06,46000,14.5086584091187,0.0230000000447035,11057,8.25738525390625,1,8.25738525390625,8.81611156463623,8.25738525390625,8.80131912231445,0,6.03068542480469,4.98360681533813,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.391687005758286,0,6.13799476623535,3.75572800636292,0.00603023951067484,5.01355504989624,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4842,3861,8.68067169189453,8.22550296783447,42.7653465270996,25.2387447357178
"BIH","Bosnia and Herzegovina",1800,773386.538028717,0,13.5585355758667,0,5125,7.45356178283691,1,7.45356178283691,7.86326694488525,7.56682825088501,7.79358673095703,0,7.56682825088501,7.02731466293335,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.837888062000275,0,6.52734756469727,3.78816175460815,0.00634089671651713,4.76909208297729,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2277,1179,7.70165252685547,7.63240098953247,44.1751251220703,17.7837886810303
"BLR","Belarus",1800,1936189.29386139,0,14.4762325286865,0,20615,9.39291191101074,1,9.39291191101074,9.64101791381836,9.39291191101074,9.4955940246582,0,9.38723087310791,8.33973979949951,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.80606818199158,0,5.06070184707642,3.98047375679016,0.000125134468300997,6.395827293396,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11743,17435,9.4589958190918,9.32767868041992,53.5423927307129,28.0536251068115
"BTN","Bhutan",1800,76436.9443058968,0,11.244234085083,0,4036,0.6931471824646,1,0.6931471824646,2.30258512496948,2.19722461700439,2.0794415473938,2.0794415473938,2.0794415473938,2.19722461700439,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1.90806818008423,0,7.94577407836914,3.31115889549255,0.189293717484398,5.96530961990356,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,16,1.3862943649292,0,27.4168796539307,90.4347610473633
"BWA","Botswana",1800,101655.229926109,0,11.5293521881104,0,57485,0,1,0,8.42046165466309,7.52456140518188,7.32909393310547,4.40671920776367,0,7.52456140518188,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-1.71102285385132,0,6.93783092498779,3.09959435462952,5.91386200177932,6.63976430892944,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,4282,4.45434713363647,0,-22.1889476776123,23.8143329620361
"CAF","Central African Republic",1800,481184.184551239,0,13.0840072631836,0,61857,0,1,0,10.6515493392944,10.4301671981812,10.4630174636841,10.4293098449707,0,9.56015205383301,10.4301671981812,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.62460017204285,11.006067276001,6.37636470794678,1.88314127922058,17.9846791391941,6.98673295974731,0,0,0,6.87269353866577,0,0,0,0,0,0,0,0,0,1,0,0,0,46100,0,0,6.57412385940552,20.4869232177734
"CHE","Switzerland",1800,1750000,0,14.3751268386841,0,4111,6.83410882949829,1,6.83410882949829,6.93049478530884,6.83410882949829,6.85012626647949,0,6.65672636032104,5.15905523300171,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.5604944229126,0,7.18927812576294,3.84601449966431,0.000470107805729878,5.62983179092407,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,968,473,6.88857269287109,6.80350542068481,46.8061485290527,8.22645664215088
"CHN","China",1800,329770843.505859,5125000,19.6139087677002,0.0155410952866077,934949,10.490385055542,1,10.490385055542,11.6298818588257,11.1042804718018,10.7898759841919,9.90971851348877,11.1042804718018,10.7421407699585,5.96357917785645,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.630230486392975,7.94189596176147,7.5122389793396,3.59907007217407,0.284104961625747,6.89567184448242,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73170,136669,11.1313724517822,10.6494169235229,36.5642204284668,103.836433410645
"CIV","Cote d'Ivoire",1800,867440.819740295,0,13.673303604126,0,32465,0,1,0,10.0043277740479,9.77012729644775,9.93333721160889,9.61913299560547,0,8.09498882293701,9.77012729644775,1,0,0,0,0,1,0,0,0,0,0,1,0,0,-1.49702382087708,10.3879489898682,5.59888362884521,2.03120827674866,19.9545662447681,5.65326833724976,0,0,0,9.94514942169189,0,0,0,0,0,0,0,0,0,1,0,0,0,24616,0,0,7.62329149246216,-5.55397176742554
