"city","year","isocode","continent","latitude","longitude","city_population","ln_city_population","ln_wpot","post","ln_wpot_post","ln_oworld","ln_tropics","ln_elevation","ln_rugged","ydum1000","ydum1100","ydum1200","ydum1300","ydum1400","ydum1500","ydum1600","ydum1700","ydum1750","ydum1800","ydum1850","ydum1900"
"Aachen",1850,"DEU","Europe",50.7700004577637,6.07999992370605,49000,10.7995758056641,9.42635154724121,1,9.42635154724121,10.0501184463501,0,5.82173013687134,2.38328695297241,0,0,0,0,0,0,0,0,0,0,1,0
"Aachen",1900,"DEU","Europe",50.7700004577637,6.07999992370605,135000,11.8130302429199,9.42635154724121,1,9.42635154724121,10.0501184463501,0,5.82173013687134,2.38328695297241,0,0,0,0,0,0,0,0,0,0,0,1
"Aarhus",1900,"DNK","Europe",56.1500015258789,10.210000038147,51000,10.8395805358887,10.239107131958,1,10.239107131958,10.0550088882446,0,4.66278839111328,1.7898120880127,0,0,0,0,0,0,0,0,0,0,0,1
"Abeokuta",1850,"NGA","Africa",7.15000009536743,3.33999991416931,60000,11.0020999908447,0,1,0,10.3368654251099,10.3551025390625,5.66894006729126,1.2538640499115,0,0,0,0,0,0,0,0,0,0,1,0
"Abeokuta",1900,"NGA","Africa",7.15000009536743,3.33999991416931,60000,11.0020999908447,0,1,0,10.3368654251099,10.3551025390625,5.66894006729126,1.2538640499115,0,0,0,0,0,0,0,0,0,0,0,1
"Aberdeen",1900,"GBR","Europe",57.1399993896484,-2.08999991416931,150000,11.9183902740479,7.31917905807495,1,7.31917905807495,8.10408115386963,0,6.39839935302734,2.60166025161743,0,0,0,0,0,0,0,0,0,0,0,1
"Adelaide",1900,"AUS","Australian Area",-34.9199981689453,138.589996337891,158000,11.9703502655029,8.58353900909424,1,8.58353900909424,9.97465324401855,10.3551025390625,5.69474172592163,1.80609667301178,0,0,0,0,0,0,0,0,0,0,0,1
"Adrianople",1500,"TUR","Asia",41.6699981689453,26.5599994659424,127000,11.7519426345825,9.26194381713867,0,0,10.2953424453735,0,6.21242380142212,2.73268532752991,0,0,0,0,0,1,0,0,0,0,0,0
"Adrianople",1600,"TUR","Asia",41.6699981689453,26.5599994659424,150000,11.9183902740479,9.26194381713867,0,0,10.2953424453735,0,6.21242380142212,2.73268532752991,0,0,0,0,0,0,1,0,0,0,0,0
"Adrianople",1700,"TUR","Asia",41.6699981689453,26.5599994659424,85000,11.3504066467285,9.26194381713867,0,0,10.2953424453735,0,6.21242380142212,2.73268532752991,0,0,0,0,0,0,0,1,0,0,0,0
"Adrianople",1750,"TUR","Asia",41.6699981689453,26.5599994659424,82000,11.314474105835,9.26194381713867,1,9.26194381713867,10.2953424453735,0,6.21242380142212,2.73268532752991,0,0,0,0,0,0,0,0,1,0,0,0
"Adrianople",1800,"TUR","Asia",41.6699981689453,26.5599994659424,80000,11.2897815704346,9.26194381713867,1,9.26194381713867,10.2953424453735,0,6.21242380142212,2.73268532752991,0,0,0,0,0,0,0,0,0,1,0,0
"Adrianople",1900,"TUR","Asia",41.6699981689453,26.5599994659424,81000,11.3022041320801,9.26194381713867,1,9.26194381713867,10.2953424453735,0,6.21242380142212,2.73268532752991,0,0,0,0,0,0,0,0,0,0,0,1
"Agra",1600,"IND","Asia",27.1700000762939,78,5e+05,13.1223630905151,0,0,0,8.60123538970947,10.3551025390625,5.47074174880981,1.105712890625,0,0,0,0,0,0,1,0,0,0,0,0
"Agra",1700,"IND","Asia",27.1700000762939,78,70000,11.1562509536743,0,0,0,8.60123538970947,10.3551025390625,5.47074174880981,1.105712890625,0,0,0,0,0,0,0,1,0,0,0,0
"Agra",1750,"IND","Asia",27.1700000762939,78,60000,11.0020999908447,0,1,0,8.60123538970947,10.3551025390625,5.47074174880981,1.105712890625,0,0,0,0,0,0,0,0,1,0,0,0
"Agra",1800,"IND","Asia",27.1700000762939,78,60000,11.0020999908447,0,1,0,8.60123538970947,10.3551025390625,5.47074174880981,1.105712890625,0,0,0,0,0,0,0,0,0,1,0,0
"Agra",1850,"IND","Asia",27.1700000762939,78,108000,11.5898866653442,0,1,0,8.60123538970947,10.3551025390625,5.47074174880981,1.105712890625,0,0,0,0,0,0,0,0,0,0,1,0
"Agra",1900,"IND","Asia",27.1700000762939,78,186000,12.1335020065308,0,1,0,8.60123538970947,10.3551025390625,5.47074174880981,1.105712890625,0,0,0,0,0,0,0,0,0,0,0,1
"Ahmedabad",1500,"IND","Asia",23.0300006866455,72.5599975585938,1e+05,11.5129251480103,0,0,0,9.21435737609863,10.3551025390625,4.70756959915161,1.05532252788544,0,0,0,0,0,1,0,0,0,0,0,0
"Ahmedabad",1600,"IND","Asia",23.0300006866455,72.5599975585938,190000,12.1547794342041,0,0,0,9.21435737609863,10.3551025390625,4.70756959915161,1.05532252788544,0,0,0,0,0,0,1,0,0,0,0,0
"Ahmedabad",1700,"IND","Asia",23.0300006866455,72.5599975585938,380000,12.8479261398315,0,0,0,9.21435737609863,10.3551025390625,4.70756959915161,1.05532252788544,0,0,0,0,0,0,0,1,0,0,0,0
"Ahmedabad",1750,"IND","Asia",23.0300006866455,72.5599975585938,101000,11.5228757858276,0,1,0,9.21435737609863,10.3551025390625,4.70756959915161,1.05532252788544,0,0,0,0,0,0,0,0,1,0,0,0
"Ahmedabad",1800,"IND","Asia",23.0300006866455,72.5599975585938,89000,11.3963918685913,0,1,0,9.21435737609863,10.3551025390625,4.70756959915161,1.05532252788544,0,0,0,0,0,0,0,0,0,1,0,0
"Ahmedabad",1900,"IND","Asia",23.0300006866455,72.5599975585938,181000,12.1062526702881,0,1,0,9.21435737609863,10.3551025390625,4.70756959915161,1.05532252788544,0,0,0,0,0,0,0,0,0,0,0,1
"Ahmednagar",1500,"IND","Asia",19.0799999237061,74.7399978637695,60000,11.0020999908447,0,0,0,6.41098117828369,10.3551025390625,6.63720560073853,2.30685138702393,0,0,0,0,0,1,0,0,0,0,0,0
"Ahmednagar",1600,"IND","Asia",19.0799999237061,74.7399978637695,75000,11.2252435684204,0,0,0,6.41098117828369,10.3551025390625,6.63720560073853,2.30685138702393,0,0,0,0,0,0,1,0,0,0,0,0
"Ahmednagar",1900,"IND","Asia",19.0799999237061,74.7399978637695,41000,10.6213274002075,0,1,0,6.41098117828369,10.3551025390625,6.63720560073853,2.30685138702393,0,0,0,0,0,0,0,0,0,0,0,1
"Ajmer",1900,"IND","Asia",26.4400005340576,74.6399993896484,73000,11.1982145309448,0,1,0,8.74853420257568,10.3551025390625,6.34726095199585,1.73824453353882,0,0,0,0,0,0,0,0,0,0,0,1
"Aleppo",1000,"SYR","Asia",36.2000007629395,37.1399993896484,40000,10.5966348648071,6.95482730865479,0,0,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,1,0,0,0,0,0,0,0,0,0,0,0
"Aleppo",1200,"SYR","Asia",36.2000007629395,37.1399993896484,45000,10.7144174575806,6.95482730865479,0,0,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,1,0,0,0,0,0,0,0,0,0
"Aleppo",1400,"SYR","Asia",36.2000007629395,37.1399993896484,75000,11.2252435684204,6.95482730865479,0,0,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,1,0,0,0,0,0,0,0
"Aleppo",1500,"SYR","Asia",36.2000007629395,37.1399993896484,67000,11.1124477386475,6.95482730865479,0,0,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,0,1,0,0,0,0,0,0
"Aleppo",1600,"SYR","Asia",36.2000007629395,37.1399993896484,61000,11.0186290740967,6.95482730865479,0,0,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,0,0,1,0,0,0,0,0
"Aleppo",1700,"SYR","Asia",36.2000007629395,37.1399993896484,67000,11.1124477386475,6.95482730865479,0,0,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,0,0,0,1,0,0,0,0
"Aleppo",1750,"SYR","Asia",36.2000007629395,37.1399993896484,71000,11.1704349517822,6.95482730865479,1,6.95482730865479,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,0,0,0,0,1,0,0,0
"Aleppo",1800,"SYR","Asia",36.2000007629395,37.1399993896484,72000,11.1844215393066,6.95482730865479,1,6.95482730865479,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,0,0,0,0,0,1,0,0
"Aleppo",1900,"SYR","Asia",36.2000007629395,37.1399993896484,130000,11.7752895355225,6.95482730865479,1,6.95482730865479,9.72276782989502,10.3551025390625,6.42802858352661,2.88158226013184,0,0,0,0,0,0,0,0,0,0,0,1
"Alessandria",1900,"ITA","Europe",44.9099998474121,8.60999965667725,48000,10.778956413269,9.37329387664795,1,9.37329387664795,10.0065584182739,8.88887119293213,6.95163536071777,2.94360327720642,0,0,0,0,0,0,0,0,0,0,0,1
"Alexandria",1200,"EGY","Africa",31.2099990844727,29.9400005340576,50000,10.8197784423828,0,0,0,0,10.3551025390625,4.45085287094116,1.71379792690277,0,0,1,0,0,0,0,0,0,0,0,0
"Alexandria",1300,"EGY","Africa",31.2099990844727,29.9400005340576,65000,11.082142829895,0,0,0,0,10.3551025390625,4.45085287094116,1.71379792690277,0,0,0,1,0,0,0,0,0,0,0,0
"Alexandria",1400,"EGY","Africa",31.2099990844727,29.9400005340576,40000,10.5966348648071,0,0,0,0,10.3551025390625,4.45085287094116,1.71379792690277,0,0,0,0,1,0,0,0,0,0,0,0
"Alexandria",1900,"EGY","Africa",31.2099990844727,29.9400005340576,314000,12.6571483612061,0,1,0,0,10.3551025390625,4.45085287094116,1.71379792690277,0,0,0,0,0,0,0,0,0,0,0,1
"Alexandria",1850,"ITA","Europe",44.9099998474121,8.60999965667725,138000,11.8350086212158,9.37329387664795,1,9.37329387664795,10.0065584182739,8.88887119293213,6.95163536071777,2.94360327720642,0,0,0,0,0,0,0,0,0,0,1,0
"Algiers",1600,"DZA","Africa",36.7700004577637,3.04999995231628,75000,11.2252435684204,8.25235939025879,0,0,9.16017150878906,10.3551025390625,6.94948768615723,3.60832095146179,0,0,0,0,0,0,1,0,0,0,0,0
"Algiers",1700,"DZA","Africa",36.7700004577637,3.04999995231628,85000,11.3504066467285,8.25235939025879,0,0,9.16017150878906,10.3551025390625,6.94948768615723,3.60832095146179,0,0,0,0,0,0,0,1,0,0,0,0
"Algiers",1750,"DZA","Africa",36.7700004577637,3.04999995231628,75000,11.2252435684204,8.25235939025879,1,8.25235939025879,9.16017150878906,10.3551025390625,6.94948768615723,3.60832095146179,0,0,0,0,0,0,0,0,1,0,0,0
"Algiers",1800,"DZA","Africa",36.7700004577637,3.04999995231628,73000,11.1982145309448,8.25235939025879,1,8.25235939025879,9.16017150878906,10.3551025390625,6.94948768615723,3.60832095146179,0,0,0,0,0,0,0,0,0,1,0,0
"Algiers",1900,"DZA","Africa",36.7700004577637,3.04999995231628,140000,11.8493976593018,8.25235939025879,1,8.25235939025879,9.16017150878906,10.3551025390625,6.94948768615723,3.60832095146179,0,0,0,0,0,0,0,0,0,0,0,1
"Aligarh",1900,"IND","Asia",27.8899993896484,78.0599975585938,69000,11.1418619155884,0,1,0,9.55448818206787,10.3551025390625,5.40999984741211,0.356435686349869,0,0,0,0,0,0,0,0,0,0,0,1
"Allahabad",1900,"IND","Asia",25.4400005340576,81.8199996948242,172000,12.0552501678467,0,1,0,6.75891923904419,10.3551025390625,5.45494937896729,1.23691701889038,0,0,0,0,0,0,0,0,0,0,0,1
"Almeria",1900,"ESP","Europe",36.8400001525879,-2.46000003814697,47000,10.7579030990601,0,1,0,5.84163951873779,10.3551025390625,7.48036909103394,3.64081048965454,0,0,0,0,0,0,0,0,0,0,0,1
"Alwar",1900,"IND","Asia",27.5599994659424,76.5999984741211,56000,10.9331073760986,0,1,0,6.53606605529785,10.3551025390625,6.21203327178955,1.76487720012665,0,0,0,0,0,0,0,0,0,0,0,1
"Ambala",1900,"IND","Asia",30.3400001525879,76.8300018310547,78000,11.2644643783569,5.14058589935303,1,5.14058589935303,8.65185451507568,10.3551025390625,6.999107837677,2.62985324859619,0,0,0,0,0,0,0,0,0,0,0,1
"Amiens",1850,"FRA","Europe",49.8899993896484,2.28999996185303,47000,10.7579030990601,10.3055582046509,1,10.3055582046509,10.3551025390625,0,5.24977731704712,2.25387239456177,0,0,0,0,0,0,0,0,0,0,1,0
"Amiens",1900,"FRA","Europe",49.8899993896484,2.28999996185303,90000,11.4075651168823,10.3055582046509,1,10.3055582046509,10.3551025390625,0,5.24977731704712,2.25387239456177,0,0,0,0,0,0,0,0,0,0,0,1
"Amoy",1600,"CHN","Asia",24.4699993133545,118.080001831055,50000,10.8197784423828,0,0,0,8.59166717529297,10.3551025390625,6.65629816055298,3.19240617752075,0,0,0,0,0,0,1,0,0,0,0,0
"Amoy",1700,"CHN","Asia",24.4699993133545,118.080001831055,60000,11.0020999908447,0,0,0,8.59166717529297,10.3551025390625,6.65629816055298,3.19240617752075,0,0,0,0,0,0,0,1,0,0,0,0
"Amoy",1750,"CHN","Asia",24.4699993133545,118.080001831055,60000,11.0020999908447,0,1,0,8.59166717529297,10.3551025390625,6.65629816055298,3.19240617752075,0,0,0,0,0,0,0,0,1,0,0,0
